"ClassName","Class","Parameter","ParameterLong","ParameterDescription","Phase","PhaseSpecific","StatCategory","Estimate","se","p"
"Anywhere",7,"BLK","Blocks","Blocks per 36 minutes","Defense","Blocks","Means",-0.528937046083258,0.0375019497376898,3.57547335801782e-45
"Center",4,"BLK","Blocks","Blocks per 36 minutes","Defense","Blocks","Variances",0.531724963129628,0.0348830167243216,1.83006681389051e-52
"Big Jump",5,"BLK","Blocks","Blocks per 36 minutes","Defense","Blocks","Means",0.403953816642073,0.0797408017516307,4.06612077256348e-07
"Defender",1,"BLK","Blocks","Blocks per 36 minutes","Defense","Blocks","Variances",0.531724963129628,0.0348830167243216,1.83006681389051e-52
"Defender",1,"BLK","Blocks","Blocks per 36 minutes","Defense","Blocks","Means",-0.143899514110594,0.0520881249711126,0.00573400925648201
"Big Jump",5,"BLK","Blocks","Blocks per 36 minutes","Defense","Blocks","Variances",0.531724963129628,0.0348830167243216,1.83006681389051e-52
"Double-Double",2,"BLKA","Blocked Attempts","Blocked field goal attempts per 36 minutes","Defense","Blocks","Means",0.940021317640302,0.127871536522692,1.96296445930693e-13
"Pass First",6,"BLKA","Blocked Attempts","Blocked field goal attempts per 36 minutes","Defense","Blocks","Variances",0.753007462442984,0.0318384681409688,1.15624287756663e-123
"Triple-Double",10,"BLKA","Blocked Attempts","Blocked field goal attempts per 36 minutes","Defense","Blocks","Means",1.09633774787043,0.235926738447147,3.36892680378539e-06
"Triple-Double",10,"BLKA","Blocked Attempts","Blocked field goal attempts per 36 minutes","Defense","Blocks","Variances",0.753007462442984,0.0318384681409688,1.15624287756663e-123
"Anywhere",7,"BLKA","Blocked Attempts","Blocked field goal attempts per 36 minutes","Defense","Blocks","Variances",0.753007462442984,0.0318384681409688,1.15624287756663e-123
"Jumper",9,"BLKA","Blocked Attempts","Blocked field goal attempts per 36 minutes","Defense","Blocks","Variances",0.753007462442984,0.0318384681409688,1.15624287756663e-123
"Defender",1,"BLKA","Blocked Attempts","Blocked field goal attempts per 36 minutes","Defense","Blocks","Variances",0.753007462442984,0.0318384681409688,1.15624287756663e-123
"Double-Double",2,"BLKA","Blocked Attempts","Blocked field goal attempts per 36 minutes","Defense","Blocks","Variances",0.753007462442984,0.0318384681409688,1.15624287756663e-123
"Painter",3,"BLKA","Blocked Attempts","Blocked field goal attempts per 36 minutes","Defense","Blocks","Means",0.120798289161009,0.0690186665386445,0.0800792628626184
"Moneyball",8,"BLKA","Blocked Attempts","Blocked field goal attempts per 36 minutes","Defense","Blocks","Means",-0.797908325656963,0.0328728795555786,3.82326579237118e-130
"Big Jump",5,"BLKA","Blocked Attempts","Blocked field goal attempts per 36 minutes","Defense","Blocks","Means",-0.277707863563279,0.065684181041671,2.35855223193517e-05
"Pass First",6,"BLKA","Blocked Attempts","Blocked field goal attempts per 36 minutes","Defense","Blocks","Means",-0.0483312726972089,0.0559061088786217,0.387308943294327
"Anywhere",7,"BLKA","Blocked Attempts","Blocked field goal attempts per 36 minutes","Defense","Blocks","Means",0.801532429013607,0.0758210917945739,4.0456319293066e-26
"Moneyball",8,"BLKA","Blocked Attempts","Blocked field goal attempts per 36 minutes","Defense","Blocks","Variances",0.753007462442984,0.0318384681409688,1.15624287756663e-123
"Jumper",9,"BLKA","Blocked Attempts","Blocked field goal attempts per 36 minutes","Defense","Blocks","Means",0.142699633733327,0.0547748684823646,0.00918199283194698
"Big Jump",5,"BLKA","Blocked Attempts","Blocked field goal attempts per 36 minutes","Defense","Blocks","Variances",0.753007462442984,0.0318384681409688,1.15624287756663e-123
"Center",4,"BLKA","Blocked Attempts","Blocked field goal attempts per 36 minutes","Defense","Blocks","Means",0.46273609506948,0.125524329962009,0.000227425948908806
"Defender",1,"BLKA","Blocked Attempts","Blocked field goal attempts per 36 minutes","Defense","Blocks","Means",0.0647221041962663,0.0721039797826593,0.369387212222462
"Center",4,"BLKA","Blocked Attempts","Blocked field goal attempts per 36 minutes","Defense","Blocks","Variances",0.753007462442984,0.0318384681409688,1.15624287756663e-123
"Painter",3,"BLKA","Blocked Attempts","Blocked field goal attempts per 36 minutes","Defense","Blocks","Variances",0.753007462442984,0.0318384681409688,1.15624287756663e-123
"Center",4,"CATCH_SHOOT_FG_PCT","Catch Shoot FGPCT","Shooting percentage from catch and shoot attempts","Offense","Efficiency","Means",-0.0592721828961584,0.151526172435416,0.695673093706499
"Pass First",6,"CATCH_SHOOT_FG_PCT","Catch Shoot FGPCT","Shooting percentage from catch and shoot attempts","Offense","Efficiency","Means",-0.0478250884923171,0.0513496271204018,0.351666369952191
"Center",4,"CATCH_SHOOT_FG_PCT","Catch Shoot FGPCT","Shooting percentage from catch and shoot attempts","Offense","Efficiency","Variances",0.956595545021561,0.0593249700487695,1.71171869783683e-58
"Big Jump",5,"CATCH_SHOOT_FG_PCT","Catch Shoot FGPCT","Shooting percentage from catch and shoot attempts","Offense","Efficiency","Means",0.0975734027552389,0.0494740613288964,0.0485852597179679
"Jumper",9,"CATCH_SHOOT_FG_PCT","Catch Shoot FGPCT","Shooting percentage from catch and shoot attempts","Offense","Efficiency","Variances",0.956595545021561,0.0593249700487695,1.71171869783683e-58
"Triple-Double",10,"CATCH_SHOOT_FG_PCT","Catch Shoot FGPCT","Shooting percentage from catch and shoot attempts","Offense","Efficiency","Means",0.0171444107812583,0.208239342314388,0.934384047850358
"Moneyball",8,"CATCH_SHOOT_FG_PCT","Catch Shoot FGPCT","Shooting percentage from catch and shoot attempts","Offense","Efficiency","Variances",0.956595545021561,0.0593249700487695,1.71171869783683e-58
"Defender",1,"CATCH_SHOOT_FG_PCT","Catch Shoot FGPCT","Shooting percentage from catch and shoot attempts","Offense","Efficiency","Means",-0.420925946861138,0.0781233563093271,7.12597349487718e-08
"Big Jump",5,"CATCH_SHOOT_FG_PCT","Catch Shoot FGPCT","Shooting percentage from catch and shoot attempts","Offense","Efficiency","Variances",0.956595545021561,0.0593249700487695,1.71171869783683e-58
"Defender",1,"CATCH_SHOOT_FG_PCT","Catch Shoot FGPCT","Shooting percentage from catch and shoot attempts","Offense","Efficiency","Variances",0.956595545021561,0.0593249700487695,1.71171869783683e-58
"Moneyball",8,"CATCH_SHOOT_FG_PCT","Catch Shoot FGPCT","Shooting percentage from catch and shoot attempts","Offense","Efficiency","Means",0.134739205886196,0.0335719774828324,5.98395492169895e-05
"Anywhere",7,"CATCH_SHOOT_FG_PCT","Catch Shoot FGPCT","Shooting percentage from catch and shoot attempts","Offense","Efficiency","Variances",0.956595545021561,0.0593249700487695,1.71171869783683e-58
"Double-Double",2,"CATCH_SHOOT_FG_PCT","Catch Shoot FGPCT","Shooting percentage from catch and shoot attempts","Offense","Efficiency","Means",0.166242137407895,0.0933926811629951,0.0750704148233267
"Pass First",6,"CATCH_SHOOT_FG_PCT","Catch Shoot FGPCT","Shooting percentage from catch and shoot attempts","Offense","Efficiency","Variances",0.956595545021561,0.0593249700487695,1.71171869783683e-58
"Anywhere",7,"CATCH_SHOOT_FG_PCT","Catch Shoot FGPCT","Shooting percentage from catch and shoot attempts","Offense","Efficiency","Means",0.229226930201937,0.0470385534034788,1.09820898468336e-06
"Triple-Double",10,"CATCH_SHOOT_FG_PCT","Catch Shoot FGPCT","Shooting percentage from catch and shoot attempts","Offense","Efficiency","Variances",0.956595545021561,0.0593249700487695,1.71171869783683e-58
"Jumper",9,"CATCH_SHOOT_FG_PCT","Catch Shoot FGPCT","Shooting percentage from catch and shoot attempts","Offense","Efficiency","Means",0.184181353832467,0.0299440514796876,7.70690294029308e-10
"Painter",3,"CATCH_SHOOT_FG_PCT","Catch Shoot FGPCT","Shooting percentage from catch and shoot attempts","Offense","Efficiency","Variances",0.956595545021561,0.0593249700487695,1.71171869783683e-58
"Painter",3,"CATCH_SHOOT_FG_PCT","Catch Shoot FGPCT","Shooting percentage from catch and shoot attempts","Offense","Efficiency","Means",-0.239382239769594,0.124587239737797,0.0546809776826208
"Double-Double",2,"CATCH_SHOOT_FG_PCT","Catch Shoot FGPCT","Shooting percentage from catch and shoot attempts","Offense","Efficiency","Variances",0.956595545021561,0.0593249700487695,1.71171869783683e-58
"Painter",3,"CATCH_SHOOT_PTS","Points from Catch and Shoot","Points per 36 minutes from catch and shoot","Offense","Shooting","Means",-1.09590799248381,0.0393381236627581,8.45663478635447e-171
